council_district,street_name,block_range,limits,schedule,add_schedule
1,08TH ST,450 - 619,CITY BOUNDARY - CONDESA DR,"Not Posted, Both Sides Odd Month 4th Wed",
1,08TH ST,620 - 629,CONDESA DR - RUE D ANTIBES,"Not Posted, Both Sides Odd Month 4th Wed",
1,08TH ST,630 - 649,RUE D ANTIBES - PUBLIC RD,"Not Posted, Both Sides Odd Month 4th Wed",
1,ABALONE LANDING TR,10400 - 10499,BEGIN - SENDA ACUARIO,"Not Posted, Both Sides Odd Month 4th Wed",
1,ABALONE LANDING TR,10500 - 10549,SENDA ACUARIO - SAND CRAB PL,"Not Posted, Both Sides Odd Month 4th Wed",
1,ABALONE LANDING TR,10550 - 10599,SAND CRAB PL - END,"Not Posted, Both Sides Odd Month 4th Wed",
1,ABALONE PL,5600 - 5699,CHELSEA AV - BIRD ROCK AV,"Not Posted, Both Sides Odd Month 3rd Wed",
1,ABALONE PL,5700 - 5799,BIRD ROCK AV - CHELSEA AV,"Not Posted, Both Sides Odd Month 3rd Wed",
1,AGEE ST,5800 - 5899,COZZENS ST - KARENSUE AV,"Not Posted, Both Sides Odd Month 1st Thu",
1,AGEE ST,5900 - 5999,KARENSUE AV - CHARAE ST,"Not Posted, Both Sides Odd Month 1st Thu",
1,AGEE ST,6000 - 6099,CHARAE ST - RAYA WY,"Not Posted, Both Sides Odd Month 1st Thu",
1,AGEE ST,6100 - 6249,RAYA WY - PAVLOV AV,"Not Posted, Both Sides Odd Month 1st Thu",
1,AGEE ST,6250 - 6299,PAVLOV AV - GOVERNOR DR,"Not Posted, Both Sides Odd Month 1st Thu",
1,AIDA ST,12650 - 12699,TARANTELLA LN - CARMEL KNOLLS DR,"Not Posted, Both Sides Odd Month 4th Wed",
1,AL BAHR DR,1400 - 1459,SOLEDAD AV - CRESPO,"Not Posted, Both Sides Odd Month 4th Thu",
1,AL BAHR DR,1460 - 1499,CRESPO - CRESPO,"Not Posted, Both Sides Odd Month 4th Thu",
1,ALBERSON CT,4850 - 4899,BEGIN - ASHLEY FALLS DR,"Not Posted, Both Sides Odd Month 4th Wed",
1,ALGONQUIN CT,4800 - 4899,BEGIN - ASHLEY FALLS DR,"Not Posted, Both Sides Odd Month 4th Wed",
1,ALLEY,0 - 0,BEGIN - LA JOLLA BL,"Not Posted, Both Sides Mon",
1,ALMERIA CT,2355 - 2399,BEGIN - PACIFICA DR,"Not Posted, Both Sides Odd Month 3rd Wed",
1,ALMONDWOOD WY,4800 - 4899,RIDING RIDGE RD - ASHLEY FALLS DR,"Not Posted, Both Sides Odd Month 4th Wed",
1,ALMONDWOOD WY,4900 - 5029,ASHLEY FALLS DR - BROOKBURN DR,"Not Posted, Both Sides Odd Month 4th Wed",
1,ALMONDWOOD WY,5030 - 5049,BROOKBURN DR - CARMEL KNOLLS DR,"Not Posted, Both Sides Odd Month 4th Wed",
1,ALTA LA JOLLA DR,1520 - 1529,CAMTO TURIA - CALLE MIRAMAR,"Not Posted, Both Sides Odd Month 3rd Wed",
1,ALTA LA JOLLA DR,1530 - 1759,CALLE MIRAMAR - CALLE DELICADA,"Not Posted, Both Sides Odd Month 3rd Wed",
1,ALTA LA JOLLA DR,1760 - 2201,CALLE DELICADA - PARKVIEW DR,"Not Posted, Both Sides Odd Month 3rd Wed",
1,AMALFI ST,1700 - 1709,TORREY PINES RD - TORREY LN,"Not Posted, Both Sides Odd Month 4th Thu",
1,AMALFI ST,1710 - 1899,TORREY LN - SIERRA MAR DR,"Not Posted, Both Sides Odd Month 4th Thu",
1,AMBER VIEW PT,5240 - 5269,BEGIN - HEATHER RIDGE DR,"Not Posted, Both Sides Even Month 1st Tue",
1,AMBERGLADES LN,10600 - 10649,HARVEST RUN DR - WINTER HUNT LN,"Not Posted, Both Sides Even Month 1st Tue",
1,AMBERGLADES LN,10650 - 10679,WINTER HUNT LN - HUNTERS GLEN DR,"Not Posted, Both Sides Even Month 1st Tue",
1,AMBERGLADES LN,10680 - 10699,HUNTERS GLEN DR - CARMEL MTN RD,"Not Posted, Both Sides Even Month 1st Tue",
